source_name,cbs_name,match_type
San Jose St.,San Jose St.,exact
Santa Clara,Santa Clara,exact
Seattle,Seattle,exact
Seton Hall,Seton Hall,exact
Siena,Siena,exact
South Alabama,South Alabama,exact
South Carolina,S. Carolina,fuzzy
South Carolina St.,S. Carolina,fuzzy
South Dakota,South Dakota,exact
South Dakota St.,South Dakota,fuzzy
South Florida,South Florida,exact
Southeast Missouri St.,SE Missouri St.,fuzzy
Southeastern Louisiana,SE Louisiana,fuzzy
Southern,Southern U.,fuzzy
Southern Illinois,S. Illinois,fuzzy
Southern Indiana,So. Indiana,fuzzy
Southern Miss,Southern U.,fuzzy
Southern Utah,Southern U.,fuzzy
St. Bonaventure,St. Bona.,fuzzy
St. John's,St. John's,exact
St. Thomas,St. Thomas (MN),fuzzy
Stanford,Stanford,exact
Stephen F. Austin,SF Austin,fuzzy
Stetson,Stetson,exact
Stonehill,Stonehill,exact
Stony Brook,Stony Brook,exact
Syracuse,Syracuse,exact
TCU,TCU,exact
Tarleton St.,Tarleton St.,exact
Temple,Temple,exact
Tennessee,Tennessee,exact
Tennessee Martin,Tennessee,fuzzy
Tennessee St.,Tennessee,fuzzy
Tennessee Tech,Tennessee,fuzzy
Texas,Texas,exact
Texas A&M,Texas A&M,exact
Texas A&M Corpus Chris,,unmatched
Texas Southern,Ga. Southern,fuzzy
Texas St.,Texas St.,exact
Texas Tech,Texas Tech,exact
The Citadel,The Citadel,exact
Toledo,Toledo,exact
Towson,Towson,exact
Troy,Troy,exact
Tulane,Tulane,exact
Tulsa,Tulsa,exact
UAB,UAB,exact
UC Davis,UC Davis,exact
UC Irvine,UC Irvine,exact
UC Riverside,UC Riverside,exact
UC San Diego,UC San Diego,exact
UC Santa Barbara,Santa Clara,fuzzy
UCF,UCF,exact
UCLA,UCLA,exact
UMBC,UMBC,exact
UMKC,UMBC,fuzzy
UMass Lowell,UMass Lowell,exact
UNC Asheville,Louisville,fuzzy
UNC Greensboro,,unmatched
UNC Wilmington,UT Arlington,fuzzy
UNLV,UNLV,exact
USC,USC,exact
USC Upstate,SC Upstate,fuzzy
UT Arlington,UT Arlington,exact
UT Rio Grande Valley,UT-Rio Grande Valley,fuzzy
UTEP,UTEP,exact
UTSA,UTSA,exact
Utah,Utah,exact
Utah St.,Utah St.,exact
Utah Tech,Utah Tech,exact
Utah Valley,Utah Valley,exact
VCU,VCU,exact
VMI,VMI,exact
Valparaiso,Valparaiso,exact
Vanderbilt,Vanderbilt,exact
Vermont,Vermont,exact
Villanova,Villanova,exact
Virginia,Virginia,exact
Virginia Tech,Virginia,fuzzy
Wagner,Wagner,exact
Wake Forest,Wake Forest,exact
Washington,Washington,exact
Washington St.,Washington,fuzzy
Weber St.,Weber St.,exact
West Georgia,W. Georgia,fuzzy
West Virginia,West Virginia,exact
Western Carolina,East Carolina,fuzzy
Western Illinois,W. Illinois,fuzzy
Western Kentucky,W. Kentucky,fuzzy
Western Michigan,W. Michigan,fuzzy
Wichita St.,Wichita St.,exact
William & Mary,William & Mary,exact
Winthrop,Winthrop,exact
Wisconsin,Wisconsin,exact
Wofford,Wofford,exact
Wright St.,Wright St.,exact
Wyoming,Wyoming,exact
Xavier,Xavier,exact
Yale,Yale,exact
Youngstown St.,Youngstown St.,exact
